enum¦label¦expr¦comments
FALSE¦false¦y¦
GREATER¦>¦y¦
GREATER_EQUAL¦≥¦y¦
LESS¦<¦y¦
LESS_EQUAL¦≤¦y¦
LOGICAL_AND¦∧¦y¦
LOGICAL_NOT¦¬¦y¦
LOGICAL_OR¦∨¦y¦
TEST_EQUALITY¦=?¦y¦
TEST_GREATER¦>?¦y¦
TEST_GREATER_EQUAL¦≥?¦y¦
TEST_IN¦∈?¦y¦
TEST_LESS¦<?¦y¦
TEST_LESS_EQUAL¦≤?¦y¦
TEST_NOT_EQUAL¦≠?¦y¦
TEST_NOT_IN¦∉?¦y¦
TRUE¦true¦y¦
ABS¦| |¦y¦positive semidefinite for abs or determinant, type is unknown if cardinality op included
ADDITION¦+¦y¦
BINOMIAL¦⁜b¦y¦
CEIL¦⌈ ⌉¦y¦
CLOSED_SURFACE_INTEGRAL¦∯¦y¦
CLOSED_VOLUME_INTEGRAL¦∰¦y¦
CONTOUR_INTEGRAL¦∮¦y¦
CROSS¦×¦y¦
CURL¦∇×¦y¦
CURRENCY_DOLLARS¦$¦y¦
CURRENCY_EUROS¦€¦y¦
CURRENCY_POUNDS¦£¦y¦
DAGGER¦†¦y¦
DECREMENT¦x⁻¦y¦
DERIVATIVE¦ⅆy/ⅆx¦y¦
DIVERGENCE¦∇⋅¦y¦
DIVIDE¦÷¦y¦
DOT¦⋅¦y¦
DOUBLE_INTEGRAL¦∬¦y¦
FACTORIAL¦!¦y¦natural number
FLOOR¦⌊ ⌋¦y¦
FORWARDSLASH¦/¦y¦
FRACTION¦⁜f¦y¦
GRADIENT¦∇¦y¦
IMPLICIT_MULTIPLY¦*imp¦y¦
INCREMENT¦x⁺¦y¦
INFIMUM¦inf¦y¦
INFTY¦∞¦y¦
INNER_PRODUCT¦⟨ | ⟩¦y¦
INTEGRAL¦∫¦y¦
LIMIT¦lim¦y¦
MATRIX¦⁜⊞¦y¦
MAX¦max¦y¦
MIN¦min¦y¦
MODULUS¦%¦y¦
MULTIPLICATION¦*¦y¦
NORM¦‖ ‖¦y¦
INTEGER_LITERAL¦¦y¦
DECIMAL_LITERAL¦¦y¦
ODOT¦⨀¦y¦
OUTER_PRODUCT¦⊗¦y¦
PARTIAL¦∂y/∂x¦y¦
POWER¦^¦y¦
PRODUCT¦∏¦y¦
ROOT¦⁜∛¦y¦
SQRT¦⁜√¦y¦
SLICE¦:¦y¦
SUBSCRIPT_PARTIAL¦∂¦y¦
SUMMATION¦Σ¦y¦
TRANSPOSE¦⊤¦y¦
TRIPLE_INTEGRAL¦∭¦y¦
UINT_PARSED¦¦y¦
UNARY_MINUS¦-¦y¦
VEE¦∨¦y¦
WEDGE¦∧¦y¦
SEQUENCE_ENUMERATED¦(,,,)¦y¦
BOOLEANS¦𝔹¦y¦
COMPLEX_NUMS¦ℂ ¦y¦
INTEGERS¦ℤ¦y¦
INTERSECTION¦∩¦y¦
INTERVAL_CLOSE_CLOSE¦[,]¦y¦
INTERVAL_CLOSE_OPEN¦[,)¦y¦
INTERVAL_INTEGER¦⟦,⟧¦y¦
INTERVAL_OPEN_CLOSE¦(,]¦y¦
INTERVAL_OPEN_OPEN¦(,)¦y¦
NARY_INTERSECTION¦⁜⋂¦y¦
NARY_UNION¦⁜⋃¦y¦
NARY_UNIONPLUS¦⁜⨄¦y¦
NATURALS¦ℕ¦y¦
NEGATIVE_RATIONALS¦ℚ⁻¦y¦
NEGATIVE_REALS¦ℝ⁻¦y¦
POSITIVE_RATIONALS¦ℚ⁺¦y¦
POSITIVE_REALS¦ℝ⁺¦y¦
QUATERNIONS¦ℍ¦y¦
RATIONALS¦ℚ¦y¦
REALS¦ℝ¦y¦
SET_BUILDER¦{ | }¦y¦
SET_ENUMERATED¦{,,,}¦y¦
UNION¦∪¦y¦
STRING¦¦y¦
ACCENT_ARROW¦⁜→¦y¦
ACCENT_BAR¦⁜ā¦y¦
ACCENT_BREVE¦⁜ă¦y¦
ACCENT_DDDOT¦⁜⋯¦y¦
ACCENT_DDOT¦⁜ä¦y¦
ACCENT_DOT¦⁜ȧ¦y¦
ACCENT_HAT¦⁜â¦y¦
ACCENT_TILDE¦⁜ã¦y¦
ALEPH¦ℵ¦y¦
BACKSLASH¦\\\\¦y¦
BETH¦ℶ¦y¦
CALL¦f( )¦y¦
CARDINALITY¦#¦y¦
CASES¦⁜c¦y¦
CONDITIONAL_PROBABLITY¦P( | )¦y¦
EMPTY_SET¦∅¦y¦
ERROR¦err¦y¦
EVAL¦⁜_|¦y¦
FUN_SIGNATURE¦f:×→¦y¦
GROUP_BRACKET¦[ ]¦y¦
GROUP_PAREN¦( )¦y¦
IDENTIFIER¦id: ¦y¦
IN¦∈¦y¦
MINUS_PLUS_BINARY¦∓¦y¦
MINUS_PLUS_UNARY¦∓¦y¦
PLUS_MINUS_BINARY¦±¦y¦
PLUS_MINUS_UNARY¦±¦y¦
PROPORTIONAL¦∝¦y¦
SET_LITERAL_DIMENSIONS¦dim¦y¦
SUBSCRIPT_ACCESS¦xᵢ¦y¦
SUBTRACTION¦-¦y¦
SUPREMUM¦sup¦y¦
TICK_DERIVATIVE¦'¦y¦
ALGORITHM¦alg¦¦
ASSIGN¦←¦¦
BLOCK¦block¦¦
DEFINE_EQUALS¦≔¦¦
EQUAL¦=¦¦
EXPR_STMT¦expr\\nstmt¦¦
FUN_DEF¦f:()↦¦¦
IF¦if¦¦
NOT_EQUAL¦≠¦¦
NOT_IN¦∉¦¦
PRINT¦print¦¦
RETURN¦return¦¦
WHILE¦while¦¦
